"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"Regulation (EU) 2022/869 of the European Parliament and of the Council of 30 May 2022 on guidelines for trans-European energy infrastructure, amending Regulations (EC) No 715/2009, (EU) 2019/942 and (EU) 2019/943 and Directives 2009/73/EC and (EU) 2019/944, and repealing Regulation (EU) No 347/2013","PE/2/2022/REV/1","32022R0869","","","","http://data.europa.eu/eli/reg/2022/869/oj","Regulation","energy cooperation, trans-European network, carbon neutrality, project of common interest, security of supply, energy grid, EU energy policy, electrical energy, gas supply, electricity supply","","Trans-European networks, Energy","Industrial policy and internal market, Energy, Trans-European networks, General principles and programmes","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E172","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-05-30","2022-06-03","Council of the European Union, European Parliament","2022-06-23","No end date","","","","true","OJ L 152, 03/06/2022, p. 45–102
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2020/740 of the European Parliament and of the Council of 25 May 2020 on the labelling of tyres with respect to fuel efficiency and other parameters, amending Regulation (EU) 2017/1369 and repealing Regulation (EC) No 1222/2009 (Text with EEA relevance)","PE/3/2020/INIT","32020R0740","2020-06-05","2020-06-05","","http://data.europa.eu/eli/reg/2020/740/oj","Regulation","pneumatic tyre, European standard, energy consumption, energy efficiency, energy saving, environmental protection, motor fuel, consumer information, labelling","","Technical barriers, Consumer protection, Protocol on Ireland/Northern Ireland, Energy, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Environment, consumers and health protection, Energy, Consumers, General principles and programmes, Consumer information, education and representation, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E114","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2020-05-25","2020-06-05","Council of the European Union, European Parliament","2020-06-25, 2021-05-01","No end date","","","","true","OJ L 177, 05/06/2020, p. 1–31
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2019/942 of the European Parliament and of the Council of 5 June 2019 establishing a European Union Agency for the Cooperation of Energy Regulators (recast) (Text with EEA relevance.)","PE/83/2018/REV/1","32019R0942","2022-06-23","2022-06-23","","http://data.europa.eu/eli/reg/2019/942/oj","Regulation","European Union Agency for the Cooperation of Energy Regulators, energy cooperation, operation of the Institutions","","Protocol on Ireland/Northern Ireland, Energy, Provisions governing the Institutions, Annex 4 Provisions of Union law referred to in Article 9","Energy, General, financial and institutional matters, General principles and programmes, Provisions governing the institutions","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2019-06-05","2019-06-14","European Parliament, Council of the European Union","2019-07-04","No end date","","","","true","OJ L 158, 14/06/2019, p. 22–53
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2019/943 of the European Parliament and of the Council of 5 June 2019 on the internal market for electricity (recast) (Text with EEA relevance.)","PE/9/2019/REV/1","32019R0943","2022-06-23","2022-06-23","","http://data.europa.eu/eli/reg/2019/943/oj","Regulation","single market, European Union Agency for the Cooperation of Energy Regulators, security of supply, electricity supply, European cooperation, electrical energy, energy policy, energy cooperation, renewable energy","","Internal market - Principles, Protocol on Ireland/Northern Ireland, Energy, Approximation of laws, Annex 4 Provisions of Union law referred to in Article 9","Industrial policy and internal market, Energy, Internal market: approximation of laws, Electricity, Other sectors for approximation of laws","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2019-06-05","2019-06-14","European Parliament, Council of the European Union","2019-07-04, 2020-01-01","No end date","","","","true","OJ L 158, 14/06/2019, p. 54–124
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2019/941 of the European Parliament and of the Council of 5 June 2019 on risk-preparedness in the electricity sector and repealing Directive 2005/89/EC (Text with EEA relevance.)","PE/73/2018/REV/1","32019R0941","","","","http://data.europa.eu/eli/reg/2019/941/oj","Regulation","electricity supply, electrical energy, energy grid, security of supply, approximation of laws, energy crisis, energy cooperation","","Energy, Approximation of laws","Industrial policy and internal market, Energy, Internal market: approximation of laws, Electricity, Other sectors for approximation of laws","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2019-06-05","2019-06-14","European Parliament, Council of the European Union","2019-07-04","No end date","","","","true","OJ L 158, 14/06/2019, p. 1–21
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2018/1999 of the European Parliament and of the Council of 11 December 2018 on the Governance of the Energy Union and Climate Action, amending Regulations (EC) No 663/2009 and (EC) No 715/2009 of the European Parliament and of the Council, Directives 94/22/EC, 98/70/EC, 2009/31/EC, 2009/73/EC, 2010/31/EU, 2012/27/EU and 2013/30/EU of the European Parliament and of the Council, Council Directives 2009/119/EC and (EU) 2015/652 and repealing Regulation (EU) No 525/2013 of the European Parliament and of the Council (Text with EEA relevance.)","PE/55/2018/REV/1","32018R1999","2023-05-16","2023-05-16","","http://data.europa.eu/eli/reg/2018/1999/oj","Regulation","energy research, greenhouse gas, reduction of gas emissions, single market, energy diversification, adaptation to climate change, energy cooperation, renewable energy, EU energy policy, energy efficiency","","Environment, Energy","Energy, General principles and programmes","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E192","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2018-12-11","2018-12-21","European Parliament, Council of the European Union","2021-01-01, 2018-12-24","No end date, 2024-12-31, 2025-10-11","","","","true","OJ L 328, 21/12/2018, p. 1–77
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2017/1938 of the European Parliament and of the Council of 25 October 2017 concerning measures to safeguard the security of gas supply and repealing Regulation (EU) No 994/2010 (Text with EEA relevance. )","","32017R1938","2022-07-01","2022-07-01","","http://data.europa.eu/eli/reg/2017/1938/oj","Regulation","self-sufficiency in energy, action programme, EU Member State, energy efficiency, gas pipeline, gas industry, gas supply, third country, gas, security of supply","","Energy","Energy, Oil and gas, Supplies and stocks","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2017-10-25","2017-10-28","Council of the European Union, European Parliament","2018-12-01, 2017-11-01","2025-12-31, No end date","","","","true","OJ L 280, 28/10/2017, p. 1–56
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2017/1369 of the European Parliament and of the Council of 4 July 2017 setting a framework for energy labelling and repealing Directive 2010/30/EU (Text with EEA relevance. )","","32017R1369","2021-05-01","2021-05-01","","http://data.europa.eu/eli/reg/2017/1369/oj","Regulation","consumer information, energy consumption, European standard, labelling, market approval, energy saving, environmental protection, energy efficiency","","Protocol on Ireland/Northern Ireland, Environment, Energy, Technical barriers, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Energy, Environment, consumers and health protection, Internal market: approximation of laws, General principles and programmes, Consumers, Other sectors for approximation of laws, Rational utilisation and conservation of energy, Consumer information, education and representation","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2017-07-04","2017-07-28","European Parliament, Council of the European Union","2019-01-01, 2017-08-01","No end date","","","","true","OJ L 198, 28/07/2017, p. 1–23
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) 2016/1952 of the European Parliament and of the Council of 26 October 2016 on European statistics on natural gas and electricity prices and repealing Directive 2008/92/EC (Text with EEA relevance)","","32016R1952","","","","http://data.europa.eu/eli/reg/2016/1952/oj","Regulation","single market, electrical energy, publishing of prices, natural gas, data collection, data transmission, EU statistics, household consumption, price of energy, energy consumption","","Information and verification, Energy, Internal market - Principles","Energy, Energy, Energy, Statistics, Oil and gas, Electricity, Other measures relating to oil or gas","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E338","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2016-10-26","2016-11-17","European Parliament, Council of the European Union","2016-12-07","No end date","","","","true","OJ L 311, 17/11/2016, p. 1–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Regulation (EU) No 347/2013 of the European Parliament and of the Council of 17 April 2013 on guidelines for trans-European energy infrastructure and repealing Decision No 1364/2006/EC and amending Regulations (EC) No 713/2009, (EC) No 714/2009 and (EC) No 715/2009  Text with EEA relevance","","32013R0347","2022-04-28","2022-04-28","","http://data.europa.eu/eli/reg/2013/347/oj","Regulation","energy cooperation, project of common interest, energy grid, trans-European network","","Trans-European networks, Energy","Energy, Industrial policy and internal market, General principles and programmes, Trans-European networks","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E172, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E294","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2013-04-17","2013-04-25, 2014-10-07","Council of the European Union, European Parliament","1001-01-01, 2013-05-15, 2013-06-01","2022-06-22, Not known","","","","true","OJ L 115, 25/04/2013, p. 39–75
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Regulation (EU) No 1227/2011 of the European Parliament and of the Council of 25 October 2011 on wholesale energy market integrity and transparency  Text with EEA relevance","","32011R1227","","","","http://data.europa.eu/eli/reg/2011/1227/oj","Regulation","price of energy, restriction on competition, insider trading, disclosure of information, wholesale trade, tradeable emission permit, energy production, intergovernmental cooperation (EU), administrative transparency, single market, energy supply, market supervision","","Energy, Protocol on Ireland/Northern Ireland, Competition, Agreements, decisions and concerted practices, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E294, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E194","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2011-10-25","2011-12-08, 2013-05-24","Council of the European Union, European Parliament","1001-01-01, 2011-12-28","No end date","","","","true","OJ L 326, 08/12/2011, p. 1–16
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Regulation (EC) No 715/2009 of the European Parliament and of the Council of 13 July 2009 on conditions for access to the natural gas transmission networks and repealing Regulation (EC) No 1775/2005 (Text with EEA relevance)","","32009R0715","2022-07-01","2022-07-01","","http://data.europa.eu/eli/reg/2009/715/oj","Regulation","market access, energy transport, gas pipeline, natural gas, energy grid, gas supply","","Energy, Internal market - Principles","Energy, Oil and gas, Other measures relating to oil or gas","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E251, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E095","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2009-07-13","2009-08-14, 2014-10-07","Council of the European Union, European Parliament","2011-03-03, 2009-09-03","No end date","","","","true","OJ L 211, 14/08/2009, p. 36–54
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Regulation (EC) No 663/2009 of the European Parliament and of the Council of 13 July 2009 establishing a programme to aid economic recovery by granting Community financial assistance to projects in the field of energy","","32009R0663","2018-12-24","2018-12-24","","http://data.europa.eu/eli/reg/2009/663/oj","Regulation","economic support, gas, electrical energy, economic recovery, energy resources, project of common interest","","Economic policy, Energy","Economic and monetary policy and free movement of capital, Energy, Economic policy, General principles and programmes","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E156, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E251, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E175","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2009-07-13","2009-07-31, 2012-10-20","European Parliament, Council of the European Union","2009-08-01","No end date","","","","true","OJ L 200, 31/07/2009, p. 31–45
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Regulation (EC) No 1099/2008 of the European Parliament and of the Council of 22 October 2008 on energy statistics (Text with EEA relevance)","","32008R1099","2022-02-20","2022-02-20","","http://data.europa.eu/eli/reg/2008/1099/oj","Regulation","EU statistics, energy policy, Eurostat","","Energy","Energy, Statistics","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E285, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E251","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2008-10-22","2008-11-14, 2012-05-16","Council of the European Union, European Parliament","2008-12-04","No end date","","","","true","OJ L 304, 14/11/2008, p. 1–62
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Commission Regulation (EU) 2023/1670 of 16 June 2023 laying down ecodesign requirements for smartphones, mobile phones other than smartphones, cordless phones and slate tablets pursuant to Directive 2009/125/EC of the European Parliament and of the Council and amending Commission Regulation (EU) 2023/826 (Text with EEA relevance)","C/2023/3538","32023R1670","","","","http://data.europa.eu/eli/reg/2023/1670/oj","Regulation","energy consumption, mobile phone, eco-label, energy efficiency, smart technology, market approval, energy saving, ecodesign, micro-computer, marketing standard","","Protocol on Ireland/Northern Ireland, Energy, Internal market - Principles, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Environment, consumers and health protection, Energy, Internal market: approximation of laws, Consumers, General principles and programmes, Other sectors for approximation of laws, Consumer information, education and representation, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-06-16","2023-08-31","Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs, European Commission","2025-06-20, 2023-09-20","No end date","","","","true","OJ L 214, 31/08/2023, p. 47–93
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2023/826 of 17 April 2023 laying down ecodesign requirements for off mode, standby mode, and networked standby energy consumption of electrical and electronic household and office equipment pursuant to Directive 2009/125/EC of the European Parliament and of the Council and repealing Commission Regulations (EC) No 1275/2008 and (EC) No 107/2009 (Text with EEA relevance)","C/2023/2448","32023R0826","","","","http://data.europa.eu/eli/reg/2023/826/oj","Regulation","household electrical appliance, electronic equipment, ecodesign, electrical equipment, office equipment, energy saving, market approval, electronic device, eco-label, energy efficiency, energy consumption","","Energy, Internal market - Principles","Energy, Industrial policy and internal market, General principles and programmes, Internal market: approximation of laws, Rational utilisation and conservation of energy, Other sectors for approximation of laws","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32009L0125","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-04-17","2023-04-18","European Commission, Directorate-General for Energy","2023-05-08, 2025-05-09","No end date","","","","true","OJ L 103, 18/04/2023, p. 29–47
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Regulation (EU) 2022/2576 of 19 December 2022 enhancing solidarity through better coordination of gas purchases, reliable price benchmarks and exchanges of gas across borders","ST/14065/2022/INIT","32022R2576","","","","http://data.europa.eu/eli/reg/2022/2576/oj","Regulation","security of supply, natural gas, EU energy policy, gas supply, purchase, energy market, cross-border cooperation, energy cooperation, energy crisis","","Energy","Energy, Energy, Oil and gas, Oil and gas, Other measures relating to oil or gas, Supplies and stocks","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E122","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-12-19","2022-12-29","Council of the European Union","2022-12-30, 2023-03-31","2023-12-30","","","","true","OJ L 335, 29/12/2022, p. 1–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Regulation (EU) 2022/2577 of 22 December 2022 laying down a framework to accelerate the deployment of renewable energy","ST/14787/2022/INIT","32022R2577","","","","http://data.europa.eu/eli/reg/2022/2577/oj","Regulation","security of supply, energy production, heat pump, renewable resources, energy efficiency, renewable energy, price of energy, carbon neutrality, energy crisis","","Energy, Environment","Environment, consumers and health protection, Energy, Environment, Other sources of energy, Space, environment and natural resources","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E122","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-12-22","2022-12-29","Council of the European Union","2022-12-30","2024-06-30","","","","true","OJ L 335, 29/12/2022, p. 36–44
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
